Name,style,Exterior color,interior color,Engine,drive type,Fuel Type,Transmission,Mileage,mpg city,mpg highway,price,Year,Engine V,Brand
Rogue,SUV,Magnetic Black,Charcoal,Inline-4 Gas,AWD,Gas,Automatic,45032,25,32,18495,2018,2.5,Nissan
Altima,Sedan,Super Black,Sport Interior,Inline-4 Gas,FWD,Gas,Automatic,52923,26,37,11900,2017,2.5,Nissan
Tacoma,Pickup Truck,Midnight Black Metallic,Graphite,V-6 Gas,RWD,Gas,Automatic,73691,19,24,29988,2018,3.5,Toyota
Silverado,Pickup Truck,Cajun Red Tintcoat,Jet Black,V-8 Gas,4WD,Gas,Automatic,15565,17,22,36000,2018,5.3,Chevrolet
3 Series,Sedan,Mineral White Metallic,Tan,Inline-4 Gas Turbocharged,RWD,Gas,Automatic,158248,22,34,8988,2013,2.0,BMW
F-150,Pickup Truck,Oxford White,Medium Earth Gray,V-6 Gas Turbocharged,RWD,Gas,Automatic,260768,18,25,13000,2016,2.7,Ford
Grand Cherokee,SUV,Sangria Metallic Clearcoat,Black,V-6 Gas,4WD,Gas,Automatic,29690,18,25,29900,2019,3.6,Jeep
Sportage,SUV,Black Cherry,Gray,Inline-4 Gas,FWD,Gas,Automatic,92840,23,30,13420,2017,2.4,Kia
Corolla,Sedan,Celestite Gray Metallic,Unknown,Inline-4 Gas,FWD,Gas,Automatic,73084,30,38,18995,2020,1.8,Toyota
RAV4,SUV,Super White,Ash,Inline-4 Gas,AWD,Gas,Automatic,21961,22,28,26890,2018,2.5,Toyota
Forte,Sedan,Clear White,Black,Inline-4 Gas,FWD,Gas,Automatic,69020,30,40,16000,2019,2.0,Kia
Wrangler,SUV,Gray,Black,V-6 Gas,4WD,Gas,Automatic,97211,16,21,26900,2015,3.6,Jeep
F-150,Pickup Truck,Ruby Red Metallic Tinted Clearcoat,Black,V-6 Gas Turbocharged,4WD,Gas,Automatic,67015,16,22,40700,2018,3.5,Ford
Equinox,SUV,Storm Blue Metallic,Jet Black,Inline-4 Gas Turbocharged,FWD,Gas,Automatic,68281,26,32,17195,2018,1.5,Chevrolet
Rogue,SUV,Brilliant Silver,Charcoal,Inline-4 Gas,AWD,Gas,Automatic,64848,25,32,18495,2018,2.5,Nissan
F-150,Pickup Truck,Magnetic Metallic,Medium Earth Gray,V-8 Gas,4WD,Gas,Automatic,87217,18,23,29680,2018,5.0,Ford
Accord,Sedan,Platinum White Pearl,Black,Inline-4 Gas Turbocharged,FWD,Gas,Automatic,37203,30,38,18950,2019,1.5,Honda
Escape,SUV,Ingot Silver Metallic,Gray,Inline-4 Gas Turbocharged,4WD,Gas,Automatic,69796,22,28,15995,2017,1.5,Ford
Silverado,Pickup Truck,Blue,Unknown,V-8 Gas,4WD,Gas,Automatic,142000,17,22,20000,2014,5.3,Chevrolet
Mercedes-Benz C-Class,Sedan,Designo Diamond White Metallic,Black,Inline-4 Gas Turbocharged,RWD,Gas,Automatic,34610,24,33,29441,2018,2.0,Mercedes
Escape,SUV,Canyon Ridge Metallic,Charcoal Black,Inline-4 Gas Turbocharged,FWD,Gas,Automatic,103495,23,30,14994,2017,2.0,Ford
Malibu,Sedan,Summit White,Jet Black,Inline-4 Gas Turbocharged,FWD,Gas,Automatic,61111,29,36,20321,2019,1.5,Chevrolet
F-150,Pickup Truck,White,Medium Earth Gray,V-6 Gas,RWD,Gas,Automatic,77568,20,25,25900,2018,3.3,Ford
F-150,Pickup Truck,Red,Gray,V-6 Gas,4WD,Gas,Automatic,78184,18,23,31123,2018,3.3,Ford
Mercedes-Benz C-Class,Sedan,Polar White,Black,Inline-4 Gas Turbocharged,RWD,Gas,Automatic,15115,23,34,35788,2019,2.0,Mercedes
Explorer,SUV,Ruby Red Metallic Tinted Clearcoat,Ebony Black,V-6 Gas,4WD,Gas,Automatic,92101,16,22,24995,2018,3.5,Ford
Corolla,Sedan,Classic Silver Metallic,Black,Inline-4 Gas,FWD,Gas,Automatic,52650,30,38,19920,2020,1.8,Toyota
Silverado,Pickup Truck,Summit White,Jet Black,V-8 Gas,4WD,Gas,Automatic,38159,17,22,37499,2018,5.3,Chevrolet
Mercedes-Benz C-Class,Sedan,Black,Black,Inline-4 Gas Turbocharged,AWD,Gas,Automatic,33578,23,32,31902,2018,2.0,Mercedes
Sierra,Pickup Truck,Summit White,Unknown,V-8 Gas,4WD,Gas,Automatic,112848,17,22,19997,2014,5.3,GMC
Corolla,Sedan,White,Unknown,Inline-4 Gas,FWD,Gas,Automatic,147510,27,36,10987,2016,1.8,Toyota
Mercedes-Benz C-Class,Sedan,White.,Black,Inline-4 Gas Turbocharged,RWD,Gas,Automatic,36574,23,30,28777,2017,2.0,Mercedes
F-150,Pickup Truck,White,Unknown,V-8 Gas,4WD,Gas,Automatic,41847,18,23,38995,2018,5.0,Ford
F-150,Pickup Truck,Oxford White,Medium Earth Gray,V-6 Gas Turbocharged,RWD,Gas,Automatic,48889,20,26,35995,2018,2.7,Ford
Fusion,Sedan,Burgundy Velvet Metallic Tinted Clearcoat,Ebony,Inline-4 Gas Turbocharged,FWD,Gas,Automatic,84084,21,32,13888,2017,1.5,Ford
Corolla,Sedan,Black Sand Pearl,Black,Inline-4 Gas,FWD,Gas,Automatic,61592,30,38,18500,2020,1.8,Toyota
Explorer,SUV,Ruby Red Metallic Tinted Clearcoat,Medium Stone,V-4 Gas Turbocharged,FWD,Gas,Automatic,90386,17,24,20984,2018,2.3,Ford
F-150,Pickup Truck,White,Unknown,V-6 Gas,RWD,Gas,Automatic,82565,20,25,28000,2018,3.3,Ford
Impala,Sedan,Summit White,Jet Black,V-6 Gas,FWD,Gas,Automatic,24363,22,29,22959,2019,3.6,Chevrolet
,Pickup Truck,Delmonico Red Pearlcoat,Black,V-8 Gas,4WD,Gas,Automatic,131397,19,24,32899,2019,5.7,Ram
Camry,Sedan,Gray,Gray,Inline-4 Gas,FWD,Gas,Automatic,62458,25,35,15000,2015,2.5,Toyota
Malibu,Sedan,Nightfall Gray Metallic,Jet Black,Inline-4 Gas Turbocharged,FWD,Gas,Automatic,73010,27,36,18995,2018,1.5,Chevrolet
Malibu,Sedan,Mosaic Black Metallic,Jet Black,Inline-4 Gas Turbocharged,FWD,Gas,Automatic,40071,27,36,20994,2018,1.5,Chevrolet
Focus,Hatchback,Hot Pepper Red Metallic Tinted Clearcoat,Medium Light Stone,Inline-4 Gas,FWD,Gas,Automatic,63130,26,38,12800,2018,2.0,Ford
Encore,SUV,Ebony Twilight Metallic,Ebony,Inline-4 Gas Turbocharged,FWD,Gas,Automatic,42625,25,33,17631,2018,1.4,Buick
Corolla,Sedan,Black,Black,Inline-4 Gas,FWD,Gas,Automatic,73500,28,35,15995,2018,1.8,Toyota
Civic,Sedan,Blue,Black,Inline-4 Gas Turbocharged,FWD,Gas,Automatic,29110,28,38,22499,2018,1.5,Honda
